read_alias	original_read_name	run_accession	spot_id	read_number	split_fastq_record_number	source_fastq_header
SRR28984805.502935/1	e6fc9be1-a4af-454f-98ce-793df973e557	SRR28984805	502935	1	2332	@SRR28984805.502935/1 original_name=e6fc9be1-a4af-454f-98ce-793df973e557
SRR28984805.503027/1	047f68f8-232d-4891-a1e9-d569798b2e5d	SRR28984805	503027	1	2333	@SRR28984805.503027/1 original_name=047f68f8-232d-4891-a1e9-d569798b2e5d
SRR28984805.503216/1	53e1eaa8-0157-497c-a177-53b25cdb97c1	SRR28984805	503216	1	2334	@SRR28984805.503216/1 original_name=53e1eaa8-0157-497c-a177-53b25cdb97c1
SRR28984805.503268/1	d99f5290-0bcb-4d23-80e2-e34cba26ae8d	SRR28984805	503268	1	2335	@SRR28984805.503268/1 original_name=d99f5290-0bcb-4d23-80e2-e34cba26ae8d
SRR28984805.503668/1	348006f0-fea0-4dee-9a94-edfb383b3e48	SRR28984805	503668	1	2336	@SRR28984805.503668/1 original_name=348006f0-fea0-4dee-9a94-edfb383b3e48
SRR28984805.503684/1	ca5af7eb-ab3a-42f1-a0c6-a6254a1da943	SRR28984805	503684	1	2337	@SRR28984805.503684/1 original_name=ca5af7eb-ab3a-42f1-a0c6-a6254a1da943
SRR28984805.503763/1	b0fac986-09d2-44d7-81f4-b1fc9022b3e0	SRR28984805	503763	1	2338	@SRR28984805.503763/1 original_name=b0fac986-09d2-44d7-81f4-b1fc9022b3e0
SRR28984805.504899/1	ea26ded8-2248-47c6-a81f-4c876cd295a4	SRR28984805	504899	1	2339	@SRR28984805.504899/1 original_name=ea26ded8-2248-47c6-a81f-4c876cd295a4
SRR28984805.505078/1	8fab622e-f522-42fa-aa35-9bb90891fe4e	SRR28984805	505078	1	2340	@SRR28984805.505078/1 original_name=8fab622e-f522-42fa-aa35-9bb90891fe4e
SRR28984805.505091/1	0a4e4b71-cdba-41f7-be56-54d6a10007ce	SRR28984805	505091	1	2341	@SRR28984805.505091/1 original_name=0a4e4b71-cdba-41f7-be56-54d6a10007ce
SRR28984805.505111/1	da004bfb-b108-4044-bb9e-fa217424f365	SRR28984805	505111	1	2342	@SRR28984805.505111/1 original_name=da004bfb-b108-4044-bb9e-fa217424f365
SRR28984805.505690/1	dfdd04f6-bfd6-4094-a760-9326e3ef089e	SRR28984805	505690	1	2343	@SRR28984805.505690/1 original_name=dfdd04f6-bfd6-4094-a760-9326e3ef089e
SRR28984805.505822/1	6c486548-2eb4-4134-bbbd-604639d66d76	SRR28984805	505822	1	2344	@SRR28984805.505822/1 original_name=6c486548-2eb4-4134-bbbd-604639d66d76
SRR28984805.505866/1	a5738cc2-a1e4-421b-ab93-1440ee797ac3	SRR28984805	505866	1	2345	@SRR28984805.505866/1 original_name=a5738cc2-a1e4-421b-ab93-1440ee797ac3
SRR28984805.505968/1	ee22bd33-bbfa-4d9c-b0e8-b208e838033f	SRR28984805	505968	1	2346	@SRR28984805.505968/1 original_name=ee22bd33-bbfa-4d9c-b0e8-b208e838033f
SRR28984805.506137/1	09618a42-5539-487d-b85b-a643f70bc5a9	SRR28984805	506137	1	2347	@SRR28984805.506137/1 original_name=09618a42-5539-487d-b85b-a643f70bc5a9
SRR28984805.506162/1	008a041f-6fff-4693-948e-3d42d8176eac	SRR28984805	506162	1	2348	@SRR28984805.506162/1 original_name=008a041f-6fff-4693-948e-3d42d8176eac
