pair_id	hic_contact_enrichment	hic_feature	hic_n_replicates	hic_n_bin_pairs	hic_partial_enrichment	hic_status	hic_qc_reasons	hic_assembly	hic_resolution
9530062K07Rik:Gm8213			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Atp5g3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Capza2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Dnaja2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Gm10051			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Gm10925			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Gm14303			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Gm28661			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Gm5559			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Rplp0			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Sh2b2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530068E07Rik:Spp1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9530077C05Rik:Tpt1-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9830107B12Rik:Gm49947			0	0		unavailable	no_probe_coordinates	GRCm39	500000
9930111H07Rik:Cab39			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A430005L14Rik:Lgals3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A430005L14Rik:Rps10			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A530064D06Rik:B2m			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A530072M11Rik:Erp44			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A630001G21Rik:Cd84			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A730011C13Rik:B230398E01Rik			0	0		unavailable	no_probe_coordinates	GRCm39	500000
A930041C12Rik:Rpap2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AA467197:Ifi30			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AA467197:Smim27			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Atp5a1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Carm1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Cd74			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Ctss			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Gm15501			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Hint3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Lgals3bp			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Marchf2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Rpl27-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Rpl8			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AB124611:Saa3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AI413582:Aldoa			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AI413582:S100a4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AI597479:Tpp2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AI662270:Mon1b			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU020206:Nsdhl			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU020206:Psenen-ps			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU020206:Tpt1-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU022793:Gm33251			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU022793:Mrps6			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AU040320:Oma1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:B2m			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:C3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Ccl5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Cd74			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Cox5b-ps			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Ctsb			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Cyb5d1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Esd			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Fam32a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Gm10123			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Gm11808			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Gm12671			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Gm2000			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Gm28347			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Hmgcl			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Hmox1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Ly6a			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Mitd1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Pkm			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Raf1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rpain			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rpl28-ps1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rpl39-ps			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rps16-ps2			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rps24			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Rps24-ps3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Saa3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Sirt3			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Tmem140			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Trex1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Tubb5			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Ubxn1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW112010:Use1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Ccdc84			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Gbp4			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Gm49339			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Man2b1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
AW549877:Mcts1			0	0		unavailable	no_probe_coordinates	GRCm39	500000
