method,k,candidates,known_positives,expected_supported_at_k,known_positive_recall_at_k,tie_breaking_lower_95,tie_breaking_upper_95,threshold_tie_candidates,interval_meaning
Long-read support,20,378,86,10.476712328767123,0.12182223638101305,9.0,13.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,21,378,86,10.687671232876712,0.12427524689391525,9.0,13.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,22,378,86,10.898630136986302,0.12672825740681748,9.0,13.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,23,378,86,11.10958904109589,0.12918126791971965,9.0,14.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,24,378,86,11.32054794520548,0.13163427843262185,9.0,14.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,25,378,86,11.531506849315068,0.13408728894552405,9.0,14.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,26,378,86,11.742465753424657,0.13654029945842625,9.0,15.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,27,378,86,11.953424657534246,0.13899330997132844,9.0,15.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,28,378,86,12.164383561643836,0.14144632048423064,9.0,15.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,29,378,86,12.375342465753425,0.14389933099713284,10.0,16.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,30,378,86,12.586301369863014,0.14635234151003504,10.0,16.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,31,378,86,12.797260273972602,0.14880535202293724,10.0,16.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,32,378,86,13.008219178082193,0.15125836253583946,10.0,17.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,33,378,86,13.219178082191782,0.15371137304874163,10.0,17.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,34,378,86,13.43013698630137,0.15616438356164383,10.0,17.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,35,378,86,13.64109589041096,0.15861739407454603,10.0,17.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,36,378,86,13.852054794520548,0.16107040458744823,10.0,18.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,37,378,86,14.063013698630137,0.16352341510035043,11.0,18.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,38,378,86,14.273972602739725,0.16597642561325263,11.0,18.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,39,378,86,14.484931506849314,0.16842943612615482,11.0,19.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,40,378,86,14.695890410958903,0.17088244663905702,11.0,19.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,41,378,86,14.906849315068493,0.17333545715195922,11.0,19.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,42,378,86,15.117808219178082,0.17578846766486142,11.0,19.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,43,378,86,15.328767123287673,0.17824147817776365,11.0,20.0,365,95% variability from random tie-breaking; not biological confidence
Long-read support,44,378,86,15.539726027397261,0.18069448869066582,12.0,20.0,365,95% variability from random tie-breaking; not biological confidence
