pair_id	log_read_support	sample_count	is_interchromosomal	log_genomic_distance	hic_feature
Cltc:Cfl1	0.6931471805599453		1	0.0	1.6927747316872432
Cog6:Dhx36	0.6931471805599453		0	16.061607518312087	0.33531036216153526
Copb2:Gch1	0.6931471805599453		1	0.0	0.41419838809612036
Coro1b:Pitpnm1	0.6931471805599453		0	10.453168438070792	
Cpq:Mdfic	0.6931471805599453		1	0.0	0.8079948511521445
Csf2rb2:Ncf4	0.6931471805599453		0	9.899881056942016	
Ctcf:Lamp1	0.6931471805599453		0	18.349591351299953	1.0276025222667813
Cux1:Cmtm7	0.6931471805599453		1	0.0	1.4836371753442439
Cyb5a:2610001J05Rik	0.6931471805599453		1	0.0	0.6560160571886964
Cyrib:Pvt1	0.6931471805599453		0	14.254411731648496	1.8597477715786455
Dcp1a:Nmd3	0.6931471805599453		1	0.0	1.1704376255517557
Dcstamp:Degs1	0.6931471805599453		1	0.0	0.5993957706365014
Dennd1a:Zglp1	0.6931471805599453		1	0.0	1.1202603429771412
Dennd4c:Fbxl4	0.6931471805599453		0	17.978023015918833	0.9305720295380684
Dhrs3:Tusc3	0.6931471805599453		1	0.0	1.16019433346318
Disp1:Mtarc2	0.6931471805599453		0	14.248707557810327	0.9943733834867446
Dnajc5:Dpep2	0.6931471805599453		1	0.0	
Dnajc5:Tpd52l2	0.6931471805599453		0	7.832014180505469	
Dnase2a:Kdm3b	0.6931471805599453		1	0.0	1.5189793808578214
Dnmt3a:Ethe1	0.6931471805599453		1	0.0	
Dram1:Krtcap2	0.6931471805599453		1	0.0	1.6064602545496336
Dtx2:Fam53a	0.6931471805599453		0	18.442801036327893	0.9791086235613671
Ehd1:B2m	1.0986122886681098		1	0.0	1.4540701959290714
Eif3a:Dennd10	0.6931471805599453		0	9.948843254256925	
Eif4g2:Nono	0.6931471805599453		1	0.0	1.191900034526789
Emc3:Ndufa7	0.6931471805599453		1	0.0	1.2681411379416674
Emilin2:Memo1	0.6931471805599453		0	14.87574889487546	0.7982896532969966
Epb41l1:Dlgap4	0.6931471805599453		0	11.16325450718426	3.331525500491413
Eprs:Exo1	0.6931471805599453		0	16.051334608515653	1.4283233101356958
Evl:H2-Oa	0.6931471805599453		1	0.0	0.9225784970491114
Exoc1:Npm1	0.6931471805599453		1	0.0	0.6789717156849088
Exoc6b:Chchd3	0.6931471805599453		0	17.75822327930802	0.46326991458738975
Fbxw11:Rtn4	0.6931471805599453		0	14.879667348453216	0.5868666293777416
Fkbp8:Pirb	0.6931471805599453		1	0.0	
Foxo3:Copz1	0.6931471805599453		1	0.0	
Frrs1:Blnk	0.6931471805599453		1	0.0	1.032520622309713
Fubp1:Pgd	0.6931471805599453		1	0.0	0.4487431991462193
G3bp1:Skp1	0.6931471805599453		0	14.9857694826582	1.1856837259619224
Gab2:Mapk1	0.6931471805599453		1	0.0	1.1845545003940487
Gask1b:Sh3glb1	0.6931471805599453		0	17.982731487797913	0.8925105657821318
Gatm:Snx5	0.6931471805599453		0	16.89052802157854	1.1545135269618951
Gle1:Stk38	0.6931471805599453		1	0.0	0.6349226416784657
Gltp:Ankrd13a	0.6931471805599453		0	11.334922569320291	
Gna11:4932438A13Rik	0.6931471805599453		1	0.0	1.7668783504187995
Gng12:Ipo8	0.6931471805599453		0	18.218244410668742	
Golga4:Bcl2a1b	0.6931471805599453		0	17.19123476914666	0.7790851909711888
Gpatch8:Trp53	0.6931471805599453		0	17.308498082880117	1.2777400859638055
Gpnmb:Arf2	0.6931471805599453		1	0.0	0.835357211867491
Gsdmd:Tmem106a	0.6931471805599453		1	0.0	1.3521163472762945
Gusb:Degs1	0.6931471805599453		1	0.0	1.1332264081300414
H2-Q7:Tmem179b	0.6931471805599453		1	0.0	0.1925169289728923
Hexa:Clk3	0.6931471805599453		0	14.388567606065491	1.0573822898895884
Hmbox1:Emc4	0.6931471805599453		1	0.0	0.7301592940644627
Hnrnph3:Ddx50	0.6931471805599453		0	12.803388760648422	3.369578385365603
Hnrnpll:Galm	0.6931471805599453		0	11.084263375257862	
Hsd17b4:Wdr36	0.6931471805599453		0	16.66393828005019	0.799320724874555
Ifnar1:Necap2	0.6931471805599453		1	0.0	1.8420307940162206
Ifngr2:Parp14	0.6931471805599453		0	17.834629418477437	0.7320878865081739
Igf2r:Oas2	0.6931471805599453		1	0.0	0.9257211781046736
Il7r:Pygm	0.6931471805599453		1	0.0	0.07580991683143318
Inppl1:Il18bp	0.6931471805599453		0	12.081965278382034	3.7073524616993514
Iqgap1:Dusp10	0.6931471805599453		1	0.0	1.5222101860586912
Irgm1:Ifi47	0.6931471805599453		0	12.230301736076653	
Itgav:AI182371	0.6931471805599453		0	17.69837633271022	1.5240448742883368
Itpr1:Ccdc91	0.6931471805599453		0	17.475199509755925	
Itsn1:Gm34342	0.6931471805599453		1	0.0	1.2569865137074563
Jdp2:Rnaset2b	0.6931471805599453		1	0.0	1.3916786664141245
Kansl1:Lsm12	0.6931471805599453		0	14.580017007881848	0.9216280015916134
Kansl1:Rilpl2	0.6931471805599453		1	0.0	1.0657778153768898
Kat5:Capg	0.6931471805599453		1	0.0	1.8633514062915528
Khsrp:Prmt1	0.6931471805599453		1	0.0	3.4444852311636516
Kif16b:Taf4	0.6931471805599453		0	17.421293552697552	
Klf6:Mitf	0.6931471805599453		1	0.0	1.6736732124642804
Kmt2e:Dmxl1	0.6931471805599453		1	0.0	0.8284412406474864
Knstrn:Ralgapa2	0.6931471805599453		0	17.12595728935107	0.43573595613909194
Lamb3:Mul1	0.6931471805599453		1	0.0	0.8309199420446916
Laptm4a:Nrp2	0.6931471805599453		1	0.0	1.4377190012003866
Large1:Rpia	0.6931471805599453		1	0.0	0.9087121481239611
Lcp1:Itm2b	0.6931471805599453		0	14.372730907698553	1.775422453367339
Ldlrad3:1700012C14Rik	0.6931471805599453		1	0.0	0.9072997062828703
Lmf1:Srsf5	0.6931471805599453		1	0.0	1.3351695212656312
Lncpint:Gt(ROSA)26Sor	0.6931471805599453		0	18.22036180550535	1.5332572513138463
Lpxn:Sem1	1.0986122886681098		1	0.0	1.2148831327486382
Lrp1:Mndal	0.6931471805599453		1	0.0	1.198210188552581
Macf1:Capzb	0.6931471805599453		0	16.54610850396614	1.0636955786516271
Malt1:Capg	0.6931471805599453		1	0.0	1.0103877050166052
Map2k1:Hif1a	0.6931471805599453		1	0.0	0.801712771962955
Map3k1:Gm47283	0.6931471805599453		1	0.0	
Map3k2:St14	0.6931471805599453		1	0.0	0.7574298016899483
Mapkapk2:Arhgef2	0.6931471805599453		1	0.0	3.5076253991170043
Mapkapk3:Rftn1	0.6931471805599453		1	0.0	1.0948751829171182
Marchf7:Mrpl15	0.6931471805599453		1	0.0	
Marchf8:Dcp1b	0.6931471805599453		0	14.8328093874516	0.1430688000589363
Mcub:Amy1	0.6931471805599453		0	16.60718240852684	0.5535657041870155
