timestamp,name,utilization_gpu_percent,memory_used_mib,power_draw_w
2026/09/19 22:40:18.422, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:19.448, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:40:20.470, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:40:21.493, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:22.522, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:23.552, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:24.581, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:25.611, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:26.640, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:27.670, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:28.699, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:29.727, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:30.754, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:40:31.777, NVIDIA A100-SXM4-80GB, 0, 1, 77.61
2026/09/19 22:40:32.802, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:33.831, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:34.861, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:35.890, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:36.921, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:37.950, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:38.980, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:40.009, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:41.281, NVIDIA A100-SXM4-80GB, 0, 1, 61.89
2026/09/19 22:40:42.309, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:40:43.332, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:44.362, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:45.391, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:46.421, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:47.450, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:48.479, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:49.508, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:50.538, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:51.567, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:52.593, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:40:53.616, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:40:54.638, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:40:55.667, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:56.696, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:57.722, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:58.751, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:40:59.780, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:00.810, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:01.839, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:02.867, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:03.893, NVIDIA A100-SXM4-80GB, 0, 1, 75.50
2026/09/19 22:41:04.916, NVIDIA A100-SXM4-80GB, 0, 1, 76.69
2026/09/19 22:41:05.939, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:06.969, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:08.000, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:09.030, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:10.060, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:11.090, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:12.119, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:13.151, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:14.416, NVIDIA A100-SXM4-80GB, 0, 1, 61.89
2026/09/19 22:41:15.440, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:41:16.463, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:17.492, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:18.523, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:19.553, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:20.583, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:21.611, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:22.642, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:23.671, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:24.700, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:25.725, NVIDIA A100-SXM4-80GB, 0, 1, 75.77
2026/09/19 22:41:26.747, NVIDIA A100-SXM4-80GB, 0, 1, 76.09
2026/09/19 22:41:27.768, NVIDIA A100-SXM4-80GB, 0, 1, 54.34
2026/09/19 22:41:28.796, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:29.825, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:30.853, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:31.883, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:32.910, NVIDIA A100-SXM4-80GB, 0, 1, 54.02
2026/09/19 22:41:33.937, NVIDIA A100-SXM4-80GB, 0, 1, 76.09
